hotel_id1,hotel_id2,value
5a18d4d461,0c2f9dca45,-0.6375641345448968
d91db6f9c9,0c2f9dca45,-0.2505808538326565
80bdccbfe5,0c2f9dca45,-0.3464258749401573
d16ec86d72,0c2f9dca45,-0.5504697329799711
1868d5eb9a,0c2f9dca45,-0.6707135403414759
3854389e62,0c2f9dca45,-0.526173895191174
7c136ab3f9,0c2f9dca45,-0.43197604952698143
fee6c0a8f3,0c2f9dca45,-0.6861558101224909
1b8d531c88,0c2f9dca45,-0.6616540754032804
7405978021,0c2f9dca45,-0.614812523734201
a16d699864,0c2f9dca45,-0.6571243429341826
a9113ac6e1,0c2f9dca45,-0.7441157960339014
7fced5b857,0c2f9dca45,-0.4326966887834288
0d26626dae,0c2f9dca45,-0.6650513747551037
bdba2530bd,0c2f9dca45,-0.504451769032546
a16d699864,d91db6f9c9,-0.5539699807970012
a9113ac6e1,d91db6f9c9,-0.7236290514577546
fee6c0a8f3,d91db6f9c9,-0.7126135656806304
1b8d531c88,d91db6f9c9,-0.6273722364894267
0d26626dae,d91db6f9c9,-0.6936710480825852
7fced5b857,d91db6f9c9,-0.026667942007936492
1868d5eb9a,d91db6f9c9,-0.7253791753662697
d16ec86d72,d91db6f9c9,-0.6122388121040319
7405978021,d91db6f9c9,-0.6674191894548593
bdba2530bd,d91db6f9c9,-0.4032534277342932
3854389e62,d91db6f9c9,-0.4530804848943687
7c136ab3f9,d91db6f9c9,-0.4366087304612858
80bdccbfe5,d91db6f9c9,-0.3103939121177885
5a18d4d461,d91db6f9c9,-0.6648454778246902
80bdccbfe5,7fced5b857,-0.3000990655971118
1b8d531c88,7fced5b857,-0.5541758777274147
fee6c0a8f3,7fced5b857,-0.6603157453555923
7405978021,7fced5b857,-0.5672503328086743
0d26626dae,7fced5b857,-0.6163567507123026
d16ec86d72,7fced5b857,-0.5693093021128096
1868d5eb9a,7fced5b857,-0.5269974829128281
a16d699864,7fced5b857,-0.2171226026404569
a9113ac6e1,7fced5b857,-0.6971712958996152
5a18d4d461,7fced5b857,-0.5933992429711933
7c136ab3f9,7fced5b857,-0.1451616254609262
bdba2530bd,7fced5b857,-0.34220498786667986
3854389e62,7fced5b857,-0.3118351906306833
1b8d531c88,a16d699864,-0.5193792964875272
3854389e62,a16d699864,-0.37556029059367263
5a18d4d461,a16d699864,-0.5971053877186371
a9113ac6e1,a16d699864,-0.04756648044491047
1868d5eb9a,a16d699864,-0.7064366577682244
0d26626dae,a16d699864,-0.6509474350217765
80bdccbfe5,a16d699864,-0.4510215155902335
fee6c0a8f3,a16d699864,-0.6745226335541263
bdba2530bd,a16d699864,-0.5643677757828848
7c136ab3f9,a16d699864,-0.4852004060388803
7405978021,a16d699864,-0.6196511015989191
d16ec86d72,a16d699864,-0.6139889360125469
d16ec86d72,80bdccbfe5,0.8609537250048152
7c136ab3f9,80bdccbfe5,0.5866990136939859
1868d5eb9a,80bdccbfe5,-0.2370946048905699
bdba2530bd,80bdccbfe5,-0.2961870239192546
3854389e62,80bdccbfe5,0.4255846656453945
0d26626dae,80bdccbfe5,0.6656604865075771
5a18d4d461,80bdccbfe5,0.9574164369035572
a9113ac6e1,80bdccbfe5,-0.2781710425080703
1b8d531c88,80bdccbfe5,0.317179931782668
7405978021,80bdccbfe5,1.0454373746553436
fee6c0a8f3,80bdccbfe5,0.4346441305835901
7c136ab3f9,1868d5eb9a,0.5211208413572752
fee6c0a8f3,1868d5eb9a,0.31295904470919056
3854389e62,1868d5eb9a,-0.15669185356408427
1b8d531c88,1868d5eb9a,-0.3892524364661728
d16ec86d72,1868d5eb9a,-0.17192822641468586
0d26626dae,1868d5eb9a,0.4291878619276314
bdba2530bd,1868d5eb9a,-0.7283646808572659
7405978021,1868d5eb9a,0.33931385180212303
a9113ac6e1,1868d5eb9a,-0.5316301638471327
5a18d4d461,1868d5eb9a,0.3585652147957888
a9113ac6e1,5a18d4d461,-0.1013055792828432
3854389e62,5a18d4d461,0.10170879410490284
1b8d531c88,5a18d4d461,0.30101702274520553
fee6c0a8f3,5a18d4d461,4.315904217343944
bdba2530bd,5a18d4d461,-0.6731843035064384
7405978021,5a18d4d461,3.1070833388860764
d16ec86d72,5a18d4d461,1.2564817283292178
