hotel_id1,hotel_id2,value
fee6c0a8f3,d91db6f9c9,-0.9123220576218166
0d26626dae,d91db6f9c9,-0.9123220576218166
7fced5b857,d91db6f9c9,1.399391411381994
7405978021,d91db6f9c9,-0.9123220576218166
bdba2530bd,d91db6f9c9,1.399391411381994
80bdccbfe5,d91db6f9c9,-0.2352368587108781
5a18d4d461,d91db6f9c9,-0.9123220576218166
80bdccbfe5,7fced5b857,-0.2352368587108781
fee6c0a8f3,7fced5b857,-0.9123220576218166
7405978021,7fced5b857,-0.9123220576218166
0d26626dae,7fced5b857,-0.9123220576218166
5a18d4d461,7fced5b857,-0.9123220576218166
bdba2530bd,7fced5b857,1.399391411381994
bdba2530bd,80bdccbfe5,-0.2352368587108781
0d26626dae,80bdccbfe5,-0.2352368587108781
5a18d4d461,80bdccbfe5,-0.2352368587108781
7405978021,80bdccbfe5,-0.2352368587108781
fee6c0a8f3,80bdccbfe5,-0.2352368587108781
fee6c0a8f3,5a18d4d461,1.399391411381994
bdba2530bd,5a18d4d461,-0.9123220576218166
7405978021,5a18d4d461,1.399391411381994
0d26626dae,5a18d4d461,1.399391411381994
7405978021,0d26626dae,1.399391411381994
bdba2530bd,0d26626dae,-0.9123220576218166
fee6c0a8f3,0d26626dae,1.399391411381994
7405978021,fee6c0a8f3,1.399391411381994
bdba2530bd,fee6c0a8f3,-0.9123220576218166
7405978021,bdba2530bd,-0.9123220576218166
