hotel_id1,hotel_id2,value
9a0737a5e7,33aeec665d,0.6436392617863654
7b1d348ad5,33aeec665d,1.1087486793711705
7b1d348ad5,9a0737a5e7,1.0940335796941334
658ee02f2f,7b1d348ad5,-0.7710150891814862
658ee02f2f,9a0737a5e7,-1.1872078266409922
658ee02f2f,33aeec665d,-1.1064953044342498
464f8b191c,33aeec665d,-0.7340870052508304
464f8b191c,7b1d348ad5,-0.04476277187859262
464f8b191c,9a0737a5e7,-0.6531740048468532
464f8b191c,658ee02f2f,-0.8849268008503162
9646db9973,9a0737a5e7,0.6319714307072986
9646db9973,464f8b191c,-0.1222676429295775
9646db9973,33aeec665d,0.4907144929356373
9646db9973,658ee02f2f,-0.8677658671670148
9646db9973,7b1d348ad5,2.4025948686853127
