hotel_id,position,value
4a9addc0be,1,0.9541873476097452
8a66a55c11,1,3.68378821416528
c99c9d73da,1,-0.04236346949218499
fd8f7c3cc9,1,0.22117557741178304
951e7bef02,1,-0.41769775762318795
4b88cdcb8a,1,-0.3044310539706183
fbaa97f2a0,1,0.13757579897383018
2bf3bbef0b,1,4.549033232031671
44497f9e48,1,-0.3201964803665664
72625a30be,1,3.532510118247012
bb37189b14,1,-0.04784938747864775
ffd85456dc,1,0.2688203579290493
4a9addc0be,2,0.9541872030489718
8a66a55c11,2,1.1338334092420594
c99c9d73da,2,-0.4497991382991272
fd8f7c3cc9,2,0.22117543285101
951e7bef02,2,-0.4176979021839612
4b88cdcb8a,2,-0.6964801699294677
fbaa97f2a0,2,0.13757565441305689
2bf3bbef0b,2,1.1107193096702392
44497f9e48,2,-0.3201966249273396
72625a30be,2,3.5325099736862384
bb37189b14,2,-0.631282312930914
ffd85456dc,2,0.268820213368276
4a9addc0be,3,0.9541870584881992
8a66a55c11,3,1.1338332646812863
c99c9d73da,3,-0.4497992828599003
fd8f7c3cc9,3,-0.4012848955662864
951e7bef02,3,-0.4176980467447343
4b88cdcb8a,3,-0.6964803144902407
fbaa97f2a0,3,0.13757550985228376
2bf3bbef0b,3,0.1481779626921099
44497f9e48,3,-0.32019676948811265
72625a30be,3,3.5325098291254644
bb37189b14,3,-0.6312824574916871
ffd85456dc,3,0.2688200688075027
4a9addc0be,4,0.6742275658691705
8a66a55c11,4,1.1338331201205134
c99c9d73da,4,-0.4497994274206735
fd8f7c3cc9,4,-0.4012850401270595
951e7bef02,4,-0.4176981913055075
4b88cdcb8a,4,-0.6964804590510139
fbaa97f2a0,4,0.1375753652915107
2bf3bbef0b,4,0.14817781813133676
44497f9e48,4,-0.32019691404888584
72625a30be,4,3.5325096845646917
bb37189b14,4,-0.6312826020524601
ffd85456dc,4,0.26881992424672985
4a9addc0be,5,-0.4705622792665754
8a66a55c11,5,1.1338329755597398
c99c9d73da,5,-0.4497995719814466
fd8f7c3cc9,5,-0.40128518468783264
951e7bef02,5,-0.41769833586628063
4b88cdcb8a,5,-0.6964806036117871
fbaa97f2a0,5,0.13757522073073786
2bf3bbef0b,5,0.1481776735705636
44497f9e48,5,-0.3201970586096589
72625a30be,5,3.5325095400039186
bb37189b14,5,-0.6312827466132332
ffd85456dc,5,0.26881977968595683
4a9addc0be,6,-0.4705624238273484
8a66a55c11,6,1.133832830998967
c99c9d73da,6,-0.4497997165422197
fd8f7c3cc9,6,-0.40128532924860577
951e7bef02,6,-0.41769848042705376
4b88cdcb8a,6,-0.7572836483080253
fbaa97f2a0,6,0.13757507616996453
2bf3bbef0b,6,0.1481775290097906
44497f9e48,6,-0.3201972031704321
72625a30be,6,3.532509395443145
bb37189b14,6,-0.6312828911740064
ffd85456dc,6,0.26881963512518353
4a9addc0be,7,-0.4705625683881216
8a66a55c11,7,-0.22140512253205905
c99c9d73da,7,-0.4497998611029928
fd8f7c3cc9,7,-0.4012854738093789
951e7bef02,7,-0.4176986249878268
4b88cdcb8a,7,-0.7572839374295715
fbaa97f2a0,7,0.1375749316091914
2bf3bbef0b,7,-0.303532868975031
44497f9e48,7,-0.3201973477312052
72625a30be,7,0.08038100563089706
bb37189b14,7,-0.6312830357347796
ffd85456dc,7,-0.11167276498314152
4a9addc0be,8,-0.4705627129488946
8a66a55c11,8,-0.22140526709283206
c99c9d73da,8,-0.449800005663766
fd8f7c3cc9,8,-0.4012856183701521
951e7bef02,8,-0.5508994135739664
4b88cdcb8a,8,-0.7572842265511177
fbaa97f2a0,8,0.13757478704841825
2bf3bbef0b,8,-0.3035330135358042
44497f9e48,8,-0.32019749229197825
72625a30be,8,0.08038086107012403
bb37189b14,8,-0.6312831802955527
ffd85456dc,8,-0.11167290954391468
4a9addc0be,9,-0.4705628575096678
8a66a55c11,9,-0.3658017555739449
c99c9d73da,9,-0.4498001502245391
fd8f7c3cc9,9,-0.4012857629309251
951e7bef02,9,-0.5508995581347397
4b88cdcb8a,9,-0.7572845156726641
fbaa97f2a0,9,0.13757464248764498
2bf3bbef0b,9,-0.5662013231981785
44497f9e48,9,-0.4445196068372412
72625a30be,9,0.08038071650935101
bb37189b14,9,-0.6312833248563258
ffd85456dc,9,-0.11167305410468782
