hotel_id1,hotel_id2,value
a16d699864,d91db6f9c9,-0.6084283842689543
fee6c0a8f3,d91db6f9c9,-0.7338013116323452
0d26626dae,d91db6f9c9,-0.7188314098576121
7fced5b857,d91db6f9c9,-0.19171187943099985
1868d5eb9a,d91db6f9c9,-0.7438897236979263
d16ec86d72,d91db6f9c9,-0.6544771038586229
7405978021,d91db6f9c9,-0.6980850785937154
bdba2530bd,d91db6f9c9,-0.4893200353656421
7c136ab3f9,d91db6f9c9,-0.5156800797950637
80bdccbfe5,d91db6f9c9,-0.4159349734047216
5a18d4d461,d91db6f9c9,-0.6960511245482353
80bdccbfe5,7fced5b857,-0.40779915722280136
fee6c0a8f3,7fced5b857,-0.6924713654281904
7405978021,7fced5b857,-0.6189235871436315
0d26626dae,7fced5b857,-0.657731430331391
d16ec86d72,7fced5b857,-0.6205507503800155
1868d5eb9a,7fced5b857,-0.5871125458723233
a16d699864,7fced5b857,-0.34222447879652423
5a18d4d461,7fced5b857,-0.6395885602457089
7c136ab3f9,7fced5b857,-0.2853551236849018
bdba2530bd,7fced5b857,-0.4410746454068551
5a18d4d461,a16d699864,-0.6425174540712001
1868d5eb9a,a16d699864,-0.728919821923193
0d26626dae,a16d699864,-0.685067772702643
80bdccbfe5,a16d699864,-0.5270702224497519
fee6c0a8f3,a16d699864,-0.7036987917592402
bdba2530bd,a16d699864,-0.6166455586126938
7c136ab3f9,a16d699864,-0.5540811321737271
7405978021,a16d699864,-0.6603348915096054
d16ec86d72,a16d699864,-0.6558601926095494
d16ec86d72,80bdccbfe5,0.5097581917741629
7c136ab3f9,80bdccbfe5,0.29302004868780784
1868d5eb9a,80bdccbfe5,-0.3580079621894494
bdba2530bd,80bdccbfe5,-0.4047075470736716
0d26626dae,80bdccbfe5,0.35542175880313603
5a18d4d461,80bdccbfe5,0.5859907893987556
7405978021,80bdccbfe5,0.6555520177541736
fee6c0a8f3,80bdccbfe5,0.17285404368084584
7c136ab3f9,1868d5eb9a,0.24119489960897605
fee6c0a8f3,1868d5eb9a,0.07668869641054872
d16ec86d72,1868d5eb9a,-0.3065082457578944
0d26626dae,1868d5eb9a,0.1685420611044282
bdba2530bd,1868d5eb9a,-0.7462491103906832
7405978021,1868d5eb9a,0.09751638583626432
5a18d4d461,1868d5eb9a,0.11273036209645525
fee6c0a8f3,5a18d4d461,3.240138102426595
bdba2530bd,5a18d4d461,-0.7026411356555907
7405978021,5a18d4d461,2.28483056634552
d16ec86d72,5a18d4d461,0.8223362494835382
0d26626dae,5a18d4d461,4.049082305394924
7c136ab3f9,5a18d4d461,0.1944139565629345
7405978021,0d26626dae,2.182644715100602
bdba2530bd,0d26626dae,-0.7170415302975895
fee6c0a8f3,0d26626dae,2.784857828886338
d16ec86d72,0d26626dae,0.6955802333692211
7c136ab3f9,0d26626dae,0.17724738441908292
7c136ab3f9,fee6c0a8f3,0.1712268804444619
7405978021,fee6c0a8f3,1.6137070894989205
d16ec86d72,fee6c0a8f3,0.39113799184176573
bdba2530bd,fee6c0a8f3,-0.7514560327471121
d16ec86d72,bdba2530bd,-0.6739217045334123
7405978021,bdba2530bd,-0.7123227569120758
7c136ab3f9,bdba2530bd,-0.5662848564466074
7c136ab3f9,7405978021,0.4566313121062239
d16ec86d72,7405978021,1.0589257840537791
d16ec86d72,7c136ab3f9,0.08034981369241294
